country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
GBR,1991,6467.6,1.558133193,159.1999775,3708.493565,593808.311,10.34060733,443.9065152,25.9155676,22.19778276,1.05584E+12,17230,8.8,0.309247932,57424897,0.376868807,50970338.58
GHA,1991,1220.8,0.303049664,387.5380256,359.821776,4044.701,0.265816617,286.291864,12.95795062,13.99531881,6599578349,410,118.5,2.817409724,15216133,4.829987852,5651271.796
GRC,1991,4123.9,1.12176782,118.0682455,2106.871735,67615.813,6.590235185,369.3141318,29.98241715,5.754641618,1.0118E+11,9520,12.1,0.969597663,10260000,1.139521299,6043140
GTM,1991,1810,0.964268129,150.3592458,507.4282495,5053.126,0.553398018,163.980836,8.849120718,25.95991516,9406097461,990,73.9,2.303796112,9131088,3.272326685,3789401.52
HND,1991,1316.6,1.697918989,178.882593,477.5181958,2698.912,0.536899999,201.1275482,11.86329074,13.600743,3068462060,620,55.2,2.774075911,5026843,3.76173826,2045925.101
HUN,1991,5486.1,4.373865921,243.4670462,2634.770374,63435.433,6.11520167,565.0777397,19.10915418,4.656110762,33429035927,2780,17.7,-0.005668183,10373400,-0.188205502,6813249.12
IDN,1991,3862.1,1.156294864,263.0789718,565.9933914,179730.671,0.958810057,445.663797,9.835398753,10.22267222,1.28168E+11,600,81,1.670765001,187451800,4.886476164,59234768.8
IND,1991,1926.3,0.027488291,308.5858084,380.2376825,737851.738,0.851501665,691.0449485,10.18536427,5.023328987,2.67524E+11,350,111.9,1.98311322,866530000,2.84215794,222871516
IRL,1991,6550.1,2.807886188,159.0397214,2840.688658,33109.343,9.390856567,525.7595579,26.0102391,0.901821757,48319942439,12590,8.5,0.566025795,3525700,0.916903383,2013174.7
ISR,1991,2644.1,0.584076927,128.4217719,2326.412002,34315.786,6.933882805,382.7617443,54.94530208,17.20257293,59170288070,11490,10.9,6.017008404,4949000,6.127567114,4478845
ITA,1991,4366.2,0.200849735,109.6753426,2645.667224,433974.782,7.645967302,316.9612851,18.45632516,6.74272616,1.19526E+12,19510,9.2,0.069881605,56758650,0.129833645,37880723.01
JOR,1991,985.4,-0.283483071,316.9354882,950.1932299,9798.224,2.763955994,921.9132646,24.7319323,8.351062631,4193336134,1120,37.2,11.1806565,3545000,12.82904618,2602030
JPN,1991,5415.6,0.036895413,133.1474092,3583.481759,1100598.712,8.88145441,329.998232,46.41628618,13.2928076,3.48477E+12,27870,6.2,0.310355946,123921000,0.784665135,78565914
KEN,1991,1712.5,0.230995267,329.5817821,459.553563,4840.44,0.199687229,143.211321,5.973764638,11.52464415,8152105054,350,102.7,3.325851279,24240108,4.20113039,4450483.829
KOR,1991,5735.4,0.382821955,187.2279301,2309.832717,268431.734,6.203932098,502.8716395,51.07452852,2.179255179,3.08185E+11,6980,7,0.926437777,43268000,2.111796483,32312542.4
LAC,1991,2175.361025,1.079238281,143.8447017,1054.586254,1001061.664,2.252214516,315.8954103,31.92637546,11.18317688,1.18637E+12,2481.672236,52.37048723,1.813028238,444478826,2.486710471,316655780.5
LIC,1991,1630.647533,0.254793702,362.7797137,375.3020248,335600.2931,0.647484684,839.6686918,8.506495782,9.52599591,1.45354E+11,281.6645689,162.2983796,2.610875693,518313871.3,3.994766927,112830997.4
LMC,1991,1934.43436,0.800132499,341.7073294,615.6674281,2133997.354,1.193125925,660.6528405,11.98914382,7.288623065,8.42407E+11,496.256279,110.7671906,2.075891507,1788576805,3.243639313,571721662.7
LMY,1991,2447.165073,1.036871904,330.0817379,955.8735071,9929307.621,2.271417269,812.7194106,13.50739415,9.052583504,3.74193E+12,846.4286286,96.76230283,1.815457611,4371415044,3.061437586,1605890514
MAR,1991,1575.8,1.140450338,101.8508163,289.7952373,24975.937,0.989618254,347.8091218,18.47388879,1.250204365,27836559831,1060,82.1,1.826738609,25237951,3.18116112,12381738.76
MEX,1991,2426.9,1.508011211,145.8696014,1490.223937,336586.596,3.917268556,383.4392864,33.41171286,2.434367271,3.14454E+11,3250,46.6,1.900066785,85923799,2.458727456,61693287.68
MIC,1991,2565.664649,1.065324688,329.3889095,1012.985163,9591788.542,2.489368462,811.2770023,14.09268075,8.964364121,3.60111E+12,923.8632009,83.32588906,1.709399088,3853101173,2.991585966,1493059517
MNA,1991,1636.091308,0.631684144,175.6627992,840.2021261,597625.1889,2.586102682,574.4480936,20.38082221,3.154142919,2.46651E+11,1233.49167,71.36306931,2.521023456,231091051.8,3.318148935,120375180.2
MOZ,1991,341.6,0.834732027,1037.083876,425.0539862,1026.76,0.074041159,180.6520933,5.789662996,14.82194056,2695475825,180,213.5,2.337161759,13867422,7.058075376,3067473.746
MYS,1991,2787.4,8.137869024,195.396127,1376.550946,68591.235,3.666456255,520.4394025,8.0631453,16.97376573,49133852000,2530,17.1,2.704723638,18707774,5.046565129,9537223.185
NGA,1991,1094,2.608150611,509.9144627,738.4989055,45247.113,0.452533869,312.4629747,12.44462032,12.78301258,27313352202,270,213,2.464538291,99986136,4.483675872,36015006.19
NLD,1991,7008.4,1.853811925,172.3489786,4602.581951,172704.699,11.46016583,429.1390998,12.6370073,11.11392568,3.03365E+11,19700,8,0.786094199,15070000,1.972622421,10476664
NZL,1991,5304.7,3.08414934,205.5708235,3783.825355,24458.89,6.998051558,380.1959885,25.32597064,25.09763663,41820222974,11910,10.5,1.356763478,3495100,1.498339717,2964543.82
PAK,1991,1805.4,0.568544195,231.9181023,384.0253617,68242.87,0.593570579,358.465289,15.49696285,10.2782291,45451961234,410,122,2.756099779,114970102,3.537353753,35456779.46
PAN,1991,1882.9,1.857145302,97.88455841,637.1679299,3391.975,1.375450461,211.3027896,35.1735931,17.20114935,5842300000,2290,32.4,2.054841146,2466083,4.293056025,1359304.95
PER,1991,2293.8,-0.020263728,96.27119203,431.6420732,20417.856,0.922963385,205.8529296,27.08772893,4.709965444,34544482513,1140,74.6,1.992998609,22122065,2.398561157,15304044.57
PHL,1991,2042.6,1.197776048,184.7160724,457.3269309,45830.166,0.725770915,293.1416102,14.44568216,8.850243009,45417505303,730,56.8,2.433622617,63146876,4.542378779,31472403
PRT,1991,2160.5,2.78400823,100.6636217,1705.678712,48239.385,4.855499245,286.5558067,37.37224962,5.918283751,87947086666,8040,13.5,0.393324067,9935000,1.72059368,4822449
PRY,1991,1768.4,1.377866174,182.1711245,728.5144377,2233.203,0.512869371,128.247273,25.95213823,3.103266218,6248792635,1260,49.3,2.569774951,4354331,3.956420334,2150168.648
ROM,1991,3191.6,0.138663278,323.1809226,2214.16735,137530.835,5.931888505,865.8212762,8.876062109,2.847881644,28846858763,1430,36.3,-0.09484394,23185000,0.20545658,12371516
SAS,1991,1961.485058,0.109328647,286.1887833,353.1458335,829911.773,0.723665926,592.4769115,10.6082165,5.540959523,3.59748E+11,349.3175439,117.1907171,2.135725576,1146816153,3.105302066,288696112.2
SAU,1991,4200.6,0.121825016,204.7435489,4175.001638,268475.738,16.10555122,789.8218972,35.12332868,7.607469467,1.31336E+11,8120,42.3,3.235455248,16669764,3.782260412,12839052.23
SDN,1991,681.1,-0.005448527,361.7784781,390.5706109,5386.823,0.198337416,183.7163539,9.378450055,4.747841297,11379222223,430,123.6,2.481669202,27159893,5.954496953,7479834.532
SEN,1991,825.6,-0.134415069,152.4916285,224.2979256,3424.978,0.459015914,312.0674616,19.53077685,24.07383412,5617174599,740,136.9,2.992699778,7461567,3.402116932,2921949.637
SLV,1991,1633.5,0.474120032,133.4494752,501.6187077,3230.627,0.596797794,158.7706982,18.50244279,0.644112727,5310996633,940,59.4,1.496885743,5413269,3.429313026,2715295.73
SSA,1991,1043.190403,0.732013573,375.2992042,690.425639,472215.6215,0.896865828,564.8651669,11.42352397,11.09915077,3.11158E+11,573.582674,173.7965869,2.746802926,526517575.6,4.431763198,150420847.6
